Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,2.3,27.60,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,92.07,1104.84,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4008.36,48100.32,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,50.370000000000005,604.44,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TLS (1 GB per hour), Average number of new TLS connections (100 per second), Average TLS connection duration (5 seconds)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,5432.16,65185.92,USD,"Operating system (Linux), Quantity (12), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m6g.4xlarge)"
My Estimate,US East (Ohio),,Application Load Balancer,0,79.57,954.84,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),,S3 Standard,0,2.3,27.60,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,92.07,1104.84,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,4008.36,48100.32,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (2), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),,Network Load Balancer,0,50.370000000000005,604.44,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TLS (1 GB per hour), Average number of new TLS connections (100 per second), Average TLS connection duration (5 seconds)"
My Estimate,US East (Ohio),,Amazon EC2,0,5432.16,65185.92,USD,"Operating system (Linux), Quantity (12), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m6g.4xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
